title,amount,severity,project,description
423,82,3,1, <br>1 duplicated blocks of code.<br>12 duplicated blocks of code.<br>10 duplicated blocks of code.<br>5 duplicated blocks of code.<br>13 duplicated blocks of code.<br>11 duplicated blocks of code.<br>2 duplicated blocks of code.<br>6 duplicated blocks of code.<br>9 duplicated blocks of code.<br>3 duplicated blocks of code.<br>4 duplicated blocks of code.
628,1,5,1, <br>This class overrides "equals()" and should therefore also override "hashCode()".
634,160,2,1, <br>Reorder the modifiers to comply with the Java Language Specification.
641,185,3,1, <br>The type of the "styles" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "fontList" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "objects" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "actions" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "map" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "selectedClasses" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "originalToDuplicateMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "valueToEnumMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "children" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "toBeDeleted" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "mb" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "list" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "duplicates" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The return type of this method should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "handles" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "paletteActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "figures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "projects" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "unsorted" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "figures" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "nameToEnumClassMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "entities" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The return type of this method should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "compatibleHandles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "toolBarActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "handles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "layouts" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "idobjects" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "children" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "enumClassToNameMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "defaultAttributes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "connectors" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "extensions" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "penPositions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "m" object should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "attributes" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "recentFiles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "classToNameMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "buttonGroups" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "values" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "entities" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "toDraw" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "enumToValueMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "a" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "secondaryHandles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "oldToNew" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "attributes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "attr" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "owners" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "windows" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "dependencies" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "contained" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "actions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "objectids" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "as" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "palettes" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "outside" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "list" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "toBeSelected" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "nameToPrototypeMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "views" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "result" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "am" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "fontExclusionList" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "fontFamilies" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "prototypes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "paths" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "pathCommands" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "temp" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "toolBars" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "intersection" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "ungroupedFigures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "valueSet" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "attributeDefaultValues" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "selectionHandles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "popupActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "map" object should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "toBeCopied" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "figureActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "textAttributes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "sorted" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "forbiddenAttributes" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "result" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "transferables" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "flavors" object should be an interface such as "List" rather than the implementation "LinkedList".
647,13,4,1, <br>Do not override the Object.finalize() method.
648,2,3,1, <br>Refactor the code in order to not assign to this loop counter from within the loop body.
649,48,3,1, <br>Introduce a new variable instead of reusing the parameter "size".<br>Introduce a new variable instead of reusing the parameter "entityResolver".<br>Introduce a new variable instead of reusing the parameter "systemID".<br>Introduce a new variable instead of reusing the parameter "name".<br>Introduce a new variable instead of reusing the parameter "defaultNamespace".<br>Introduce a new variable instead of reusing the parameter "bracketLevel".<br>Introduce a new variable instead of reusing the parameter "str".<br>Introduce a new variable instead of reusing the parameter "c".<br>Introduce a new variable instead of reusing the parameter "view".<br>Introduce a new variable instead of reusing the parameter "value".<br>Introduce a new variable instead of reusing the parameter "string".<br>Introduce a new variable instead of reusing the parameter "target".<br>Introduce a new variable instead of reusing the parameter "entity".<br>Introduce a new variable instead of reusing the parameter "verticalPos".
665,120,2,1, <br>Move this constructor to comply with Java Code Conventions.<br>Move this variable to comply with Java Code Conventions.
667,2,2,1, <br>Move constants to a class or enum.
673,10,3,1, <br>Make height a static final constant or non-public and provide accessors if needed.<br>Make y a static final constant or non-public and provide accessors if needed.<br>Make left a static final constant or non-public and provide accessors if needed.<br>Make bottom a static final constant or non-public and provide accessors if needed.<br>Make top a static final constant or non-public and provide accessors if needed.<br>Make keepColinear a static final constant or non-public and provide accessors if needed.<br>Make width a static final constant or non-public and provide accessors if needed.<br>Make right a static final constant or non-public and provide accessors if needed.<br>Make mask a static final constant or non-public and provide accessors if needed.<br>Make x a static final constant or non-public and provide accessors if needed.
